image_path,image_name,ground_truth
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural63.tif,agricultural63,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural64.tif,agricultural64,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural65.tif,agricultural65,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural66.tif,agricultural66,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural67.tif,agricultural67,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural68.tif,agricultural68,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural69.tif,agricultural69,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural70.tif,agricultural70,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural71.tif,agricultural71,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural72.tif,agricultural72,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural73.tif,agricultural73,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural74.tif,agricultural74,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural75.tif,agricultural75,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural76.tif,agricultural76,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural77.tif,agricultural77,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural78.tif,agricultural78,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural79.tif,agricultural79,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural80.tif,agricultural80,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural81.tif,agricultural81,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural82.tif,agricultural82,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural83.tif,agricultural83,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural84.tif,agricultural84,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural85.tif,agricultural85,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural86.tif,agricultural86,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural87.tif,agricultural87,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural88.tif,agricultural88,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural89.tif,agricultural89,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural90.tif,agricultural90,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural91.tif,agricultural91,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural92.tif,agricultural92,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural93.tif,agricultural93,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural94.tif,agricultural94,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural95.tif,agricultural95,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural96.tif,agricultural96,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural97.tif,agricultural97,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural98.tif,agricultural98,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural99.tif,agricultural99,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane00.tif,airplane00,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane01.tif,airplane01,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane02.tif,airplane02,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane03.tif,airplane03,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane04.tif,airplane04,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane05.tif,airplane05,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane06.tif,airplane06,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane07.tif,airplane07,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane08.tif,airplane08,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane09.tif,airplane09,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane10.tif,airplane10,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane11.tif,airplane11,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane12.tif,airplane12,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane13.tif,airplane13,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane14.tif,airplane14,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane15.tif,airplane15,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane16.tif,airplane16,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane17.tif,airplane17,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane18.tif,airplane18,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane19.tif,airplane19,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane20.tif,airplane20,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane21.tif,airplane21,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane22.tif,airplane22,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane23.tif,airplane23,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane24.tif,airplane24,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane25.tif,airplane25,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane26.tif,airplane26,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane27.tif,airplane27,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane28.tif,airplane28,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane29.tif,airplane29,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane30.tif,airplane30,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane31.tif,airplane31,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane32.tif,airplane32,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane33.tif,airplane33,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane34.tif,airplane34,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane35.tif,airplane35,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane36.tif,airplane36,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane37.tif,airplane37,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane38.tif,airplane38,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane39.tif,airplane39,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane40.tif,airplane40,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane41.tif,airplane41,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane42.tif,airplane42,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane43.tif,airplane43,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane44.tif,airplane44,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane45.tif,airplane45,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane46.tif,airplane46,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane47.tif,airplane47,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane48.tif,airplane48,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane49.tif,airplane49,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane50.tif,airplane50,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane51.tif,airplane51,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane52.tif,airplane52,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane53.tif,airplane53,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane54.tif,airplane54,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane55.tif,airplane55,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane56.tif,airplane56,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane57.tif,airplane57,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane58.tif,airplane58,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane59.tif,airplane59,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane60.tif,airplane60,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane61.tif,airplane61,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane62.tif,airplane62,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane63.tif,airplane63,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane64.tif,airplane64,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane65.tif,airplane65,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane66.tif,airplane66,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane67.tif,airplane67,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane68.tif,airplane68,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane69.tif,airplane69,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane70.tif,airplane70,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane71.tif,airplane71,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane72.tif,airplane72,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane73.tif,airplane73,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane74.tif,airplane74,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane75.tif,airplane75,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane76.tif,airplane76,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane77.tif,airplane77,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane78.tif,airplane78,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane79.tif,airplane79,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane80.tif,airplane80,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane81.tif,airplane81,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane82.tif,airplane82,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane83.tif,airplane83,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane84.tif,airplane84,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane85.tif,airplane85,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane86.tif,airplane86,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane87.tif,airplane87,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane88.tif,airplane88,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane89.tif,airplane89,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane90.tif,airplane90,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane91.tif,airplane91,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane92.tif,airplane92,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane93.tif,airplane93,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane94.tif,airplane94,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane95.tif,airplane95,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane96.tif,airplane96,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane97.tif,airplane97,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane98.tif,airplane98,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\airplane\airplane99.tif,airplane99,airplane
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond00.tif,baseballdiamond00,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond01.tif,baseballdiamond01,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond02.tif,baseballdiamond02,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond03.tif,baseballdiamond03,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond04.tif,baseballdiamond04,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond05.tif,baseballdiamond05,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond06.tif,baseballdiamond06,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond07.tif,baseballdiamond07,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond08.tif,baseballdiamond08,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond09.tif,baseballdiamond09,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond10.tif,baseballdiamond10,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond11.tif,baseballdiamond11,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond12.tif,baseballdiamond12,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond13.tif,baseballdiamond13,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond14.tif,baseballdiamond14,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond15.tif,baseballdiamond15,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond16.tif,baseballdiamond16,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond17.tif,baseballdiamond17,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond18.tif,baseballdiamond18,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond19.tif,baseballdiamond19,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond20.tif,baseballdiamond20,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond21.tif,baseballdiamond21,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond22.tif,baseballdiamond22,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond23.tif,baseballdiamond23,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond24.tif,baseballdiamond24,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond25.tif,baseballdiamond25,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond26.tif,baseballdiamond26,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond27.tif,baseballdiamond27,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond28.tif,baseballdiamond28,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond29.tif,baseballdiamond29,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond30.tif,baseballdiamond30,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond31.tif,baseballdiamond31,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond32.tif,baseballdiamond32,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond33.tif,baseballdiamond33,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond34.tif,baseballdiamond34,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond35.tif,baseballdiamond35,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond36.tif,baseballdiamond36,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond37.tif,baseballdiamond37,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond38.tif,baseballdiamond38,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond39.tif,baseballdiamond39,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond40.tif,baseballdiamond40,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond41.tif,baseballdiamond41,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond42.tif,baseballdiamond42,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond43.tif,baseballdiamond43,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond44.tif,baseballdiamond44,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond45.tif,baseballdiamond45,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond46.tif,baseballdiamond46,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond47.tif,baseballdiamond47,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond48.tif,baseballdiamond48,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond49.tif,baseballdiamond49,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond50.tif,baseballdiamond50,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond51.tif,baseballdiamond51,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond52.tif,baseballdiamond52,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond53.tif,baseballdiamond53,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond54.tif,baseballdiamond54,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond55.tif,baseballdiamond55,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond56.tif,baseballdiamond56,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond57.tif,baseballdiamond57,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond58.tif,baseballdiamond58,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond59.tif,baseballdiamond59,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond60.tif,baseballdiamond60,baseballdiamond
D:\Dataset\UCMerced_LandUse_Dataset\Images\baseballdiamond\baseballdiamond61.tif,baseballdiamond61,baseballdiamond
